"GOOGLE MERCHANT CENTER — BỘ CHECKLIST KIỂM TRA WEBSITE TOÀN DIỆN BY ĐỨC LÊ Bộ checklist toàn diện kết hợp chính sách chính thức của Google + thực tiễn tốt nhất trong ngành  |  Phiên bản 1.0  |  Cập nhật: Tháng 3/2026    Website cần kiểm tra: #   1. Kiểm Tra Kỹ Thuật & Bảo Mật","Phần ","Tiêu Chí Kiểm Tra ","Mức Độ ","   Ngày kiểm tra: Trạng Thái ","Hướng Dẫn / Giải Thích ","Công Cụ Kiểm Tra ","Ghi Chú "
"1","Kiểm Tra Kỹ Thuật & Bảo Mật","Website sử dụng HTTPS (Chứng chỉ SSL)","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Tất cả các trang phải tải qua HTTPS. Nội dung hỗn hợp (ảnh HTTP trên trang HTTPS) cũng gây ra vấn đề.","https://www.ssllabs.com/ssltest/",""
"2","Kiểm Tra Kỹ Thuật & Bảo Mật","HTTP tự động chuyển hướng sang HTTPS","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Nhập http://yoursite.com phải tự động chuyển sang https://yoursite.com.","",""
"3","Kiểm Tra Kỹ Thuật & Bảo Mật","Chứng chỉ SSL còn hạn và hợp lệ","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Kiểm tra ngày hết hạn SSL. SSL hết hạn = bị tạm ngưng ngay lập tức.","https://www.ssllabs.com/ssltest/",""
"4","Kiểm Tra Kỹ Thuật & Bảo Mật","Không có trang lỗi 404 (liên kết hỏng)","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Tất cả trang được liên kết từ menu, footer và trang sản phẩm phải hoạt động. Dùng Dead Link Checker.","https://www.deadlinkchecker.com/",""
"5","Kiểm Tra Kỹ Thuật & Bảo Mật","Điểm Google PageSpeed chấp nhận được (Mobile ≥ 50)","🟡 CẢNH BÁO","⬜ Chưa Kiểm Tra","Website chậm làm giảm độ tin cậy và ảnh hưởng chất lượng quảng cáo. Mục tiêu 50+ trên mobile.","https://pagespeed.web.dev/",""
"6","Kiểm Tra Kỹ Thuật & Bảo Mật","Website không có phần mềm độc hại hoặc script đáng ngờ","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Google sẽ tạm ngưng ngay tài khoản có phần mềm độc hại. Quét định kỳ.","https://www.virustotal.com/gui/home/url",""
"7","Kiểm Tra Kỹ Thuật & Bảo Mật","Website hiển thị tốt trên thiết bị di động (responsive)","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Website phải hiển thị đúng trên thiết bị di động. Kiểm tra trên nhiều kích thước màn hình.","https://search.google.com/test/mobile-friendly",""
"8","Kiểm Tra Kỹ Thuật & Bảo Mật","Không có pop-up gây hiểu nhầm hoặc che khuất nội dung","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Pop-up chặn nội dung, đồng hồ đếm ngược giả, hoặc nút đóng gây hiểu nhầm đều vi phạm chính sách.","",""
"9","Kiểm Tra Kỹ Thuật & Bảo Mật","Tên miền đã được xác nhận trong Google Merchant Center","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Tên miền phải được xác nhận trong Merchant Center qua thẻ HTML, GA hoặc GTM.","",""
"10","Kiểm Tra Kỹ Thuật & Bảo Mật","Robots.txt không chặn Googlebot thu thập dữ liệu","🔴 BẮT BUỘC","⬜ Chưa Kiểm Tra","Đảm bảo robots.txt cho phép Googlebot thu thập trang sản phẩm và trang chính sách.","",""
