"","📊 BẢNG TỔNG QUAN TUÂN THỦ CHÍNH SÁCH THỐNG KÊ THEO MỨC ĐỘ ƯU TIÊN","","","",""
"","Tổng tiêu chí kiểm tra (không tính Điền vào)","129","","",""
"","🔴 Tiêu chí BẮT BUỘC","75","","",""
"","🟡 Tiêu chí CẢNH BÁO","33","","",""
"","🔵 Tiêu chí KHUYẾN NGHỊ","20","","",""
"","🟣 Tiêu chí TÙY CHỌN","1","","",""
"","📝 Trường ĐIỀN VÀO","13","","",""
"","THỐNG KÊ THEO PHẦN","","","",""
"","Phần","","","","Tùy Chọn"
"","Kiểm Tra Kỹ Thuật & Bảo Mật","9","1","1","-"
"","Thông Tin Doanh Nghiệp","6","3","2","1"
"","Điều Hướng Website","8","5","6","-"
"","Trang Liên Hệ","3","2","2","-"
"","Chính Sách Vận Chuyển","6","3","2","-"
"","Chính Sách Đổi Trả & Hoàn Tiền","8","2","1","-"
"","Chính Sách Bảo Mật","6","2","","-"
"","Chính Sách Thanh Toán & Phương Thức","3","4","","-"
"","Điều Khoản Dịch Vụ","1","2","","-"
"","Trang Sản Phẩm","8","2","3","-"
"","Giá Cả & Khuyến Mãi","6","1","","-"
"","Cài Đặt Google Merchant Center","7","3","","-"
"","Độ Tin Cậy & Bằng Chứng Xã Hội","2","","2","-"
"","Nội Dung & Ngôn Ngữ","2","3","1","-"
"","THANG ĐIỂM ĐÁNH GIÁ MỨC ĐỘ SẴN SÀNG","","","",""
"","90-100% tiêu chí BẮT BUỘC đạt","","","",""
"","70-89% tiêu chí BẮT BUỘC đạt","","","",""
"","50-69% tiêu chí BẮT BUỘC đạt","","","",""
"","Dưới 50% tiêu chí BẮT BUỘC đạt","","","",""
